DG,,,,,,,,,,,,,
"4,098,024.78 ","6,568,877.20 ","4,554,563.89 ","4,415,468.48 ","5,494,084.07 ","1,309,126.25 ","1,219,819.78 ","1,283,594.11 ","1,708,407.72 ","96,710.27 ","1,354,776.81 ","425,001.00 ","7,164,636.87 ","7,613,174.23 "
"9,634,740.47 ","8,613,363.20 ","8,551,973.41 ","8,924,744.54 ","17,620,690.20 ","20,155,600.62 ","12,567,533.30 ","14,332,643.18 ","13,305,208.89 ","12,113,573.23 ","17,674,560.98 ","11,167,083.73 ","16,760,610.67 ","21,021,183.85 "
"258,652.13 ","400,450.24 ","208,898.61 ","58,093.60 ","478,580.23 ","128,483.14 ","479,344.58 ","285,998.23 ","496,998.02 ","346,123.73 ","623,861.15 ","548,301.60 ","651,719.40 ","1,438,333.11 "
"346,536.96 ","381,057.88 ","133,359.15 ","75,240.00 ","217,684.29 ","264,207.07 ","245,351.37 ","349,263.00 ","181,368.49 ","427,434.09 ","357,205.45 ","316,295.93 ","425,426.47 ","366,091.35 "
"968,923.26 ","315,044.42 ","518,352.07 ","73,154.00 ","767,798.34 ","500,418.97 ","878,586.14 ","915,404.92 ","1,000,155.45 ","237,659.35 ","863,503.43 ","291,454.02 ","872,370.19 ","623,249.29 "
"10,585.39 ","24,249.00 ","2,742.80 ","4,932.30 ","37,747.90 ","11,552.00 ","30,415.28 ","31,266.00 ","26,021.35 ","11,130.00 ","35,087.93 ","21,403.00 ","52,225.22 ","54,862.00 "
"29,541.16 ","44,735.64 ","3,295.22 ",0.00 ,"29,695.44 ","30,078.45 ","13,811.32 ","16,555.50 ","29,646.96 ","31,248.30 ","20,931.83 ","23,585.34 ","27,320.91 ","29,967.82 "
"329,705.09 ","379,810.74 ","240,554.91 ","194,098.96 ","354,479.84 ","379,995.58 ","361,696.78 ","364,449.83 ","374,415.79 ","337,386.21 ","387,605.57 ","375,483.73 ","447,001.47 ","428,580.08 "
"12,398.60 ","12,676.13 ","13,125.89 ","12,771.47 ","27,692.93 ","38,159.69 ","9,845.87 ","9,175.06 ","20,187.86 ","20,887.18 ","8,161.72 ","8,494.10 ","40,271.68 ","44,113.50 "
JS,,,,,,,,,,,,,
"15,567,682.34 ","19,266,526.03 ","6,188,756.24 ","5,159,804.92 ","16,197,611.27 ","14,011,292.00 ","15,186,850.38 ","15,550,572.61 ","16,876,412.24 ","18,037,962.09 ","16,241,491.78 ","17,681,048.74 ","16,658,834.02 ","22,785,787.93 "
