70831.039,29560.581,79357.023,78951.61,79652.096,78505.884,80166.061,84087.455
12382871.12,3849835.09,11353099.45,14024082.7,9442566.13,13077152.32,13676924.52,12701678.85
12197799.15,5571692.3,13832897.1,12224414.54,12376863.48,13467811.37,14703863.78,15244204.36
7073380.64,9459049.55,11385715.52,11087601.61,-556289.4,4064284.17,5401640.76,3090326.38
6127221.49,2649960.4,7439732.45,8129801.94,7578632.96,7428650.52,8386992.71,8534966.41
2139447.23,509315.1,2696507.11,2375082.9,1202126.84,219098.13,1906348.31,1329654.3
1545181.98,2552189.21,1187260.34,2328487.26,1228568.82,2111124.8,3003023.55,2361488.63
515239.98,113572.42,182103.37,176639.75,66193.84,165458.8,128819.31,394559.33
1667939.55,250676.44,311034.98,170143.93,189475.36,578020.2,325652.78,528740.19
1365431.95,5837.16,129168.06,224498.29,43554.86,61964.74,44731.27,54258.94
309764.77,196304.57,111202.67,259078.15,239666.4,232312.82,234348.61,132260.96
19235.39,4070.8,39413,-7812.39,21264.59,203.54,15901.77,29992.03
102995.16,22278.6,33884.56,-19548.08,19827.77,44076.2,63030.26,33348.37
47526.97,0,97594.92,36436.68,5527.27,25326.07,8632.53,82469.08
96857.82,50528.07,67884.56,10365.61,29274.37,86907.32,47605.42,90084.73
305166.37,0,1240034.38,717610.33,352634.42,1921538.12,3304614.32,2420326.64
2678536.33,1019831.03,3607866.56,4114219.32,3541567.41,3935397,3061495.57,2590874.85
2079521.64,486298.1,2055412.1,9713112.8,8296505.89,8471736.6,6984740.61,5151613.35
6355518.74,1836034.05,1642303.16,2963277.99,3516149.49,6346596.51,7573863.08,8491559.14
156194.11,31161.41,147862.9,131103.56,148109.71,175417.8,97583.33,129436.02
94549.47,61158.93,168872.95,174962.28,260422.74,243851.76,192847.2,155832.89
436211.66,0,97068.39,264250.12,83824.86,89934.86,248024.62,165485.49
358241.09,25731.63,147484.14,341079.35,156994.98,172245.37,200083,224534.22
481037.62,56234.51,337550.64,231036.61,404927.56,67360.17,191035.82,650882.89
1668360.71,327629.25,265121.52,220379.57,157956.88,200856.57,291221.28,609024
7637.15,226991.15,48207.08,805.31,15915.28,6564.38,15333.33,18261.78
17533.31,2120.52,202237.63,29786.38,22634.78,16636.68,59718.03,23542.55
20013.86,6298.46,7259.02,7729.95,4803,5929.2,13384.16,10906.06
15980.11,7648.51,17707.93,7710.8,8542.65,8908.78,17839.77,6699.05
354609.7,381125.37,345246.67,420178.74,294766.71,339333.86,441037.92,336556
365641.2,328270.25,403752.67,373893.45,359489.62,345964,380705.81,380974.8
8031.1,2256.64,92247.86,46197.57,16551.91,37200.71,33809.95,32500.14
7585.65,2854.49,85523.28,55401.85,16717.25,36950.89,30526.43,23811.61
